"ID","location_title","location_modern_title","location_other_title","location_uncertain","location_lat","location_long","LegendID"
75,"Barcinona","Barcelona",NA,0,"41.38526570","2.17362252",5
76,"Rodas","Rosas",NA,0,"42.26051656","3.20809453",5
77,"Dertosa","Tortosa",NA,0,"40.81259129","0.52146725",5
78,"Sagunto","Sagunto",NA,0,"39.67986330","-0.27843850",5
79,"Cestavi","Gist'in (doubts)",NA,0,"42.59115713","0.32959130",5
80,"Volotania","Boltaña",NA,0,"42.44472409","0.06640920",5
81,"Labeclosa","Puebla de Castro",NA,0,"42.14394601","0.28724408",5
82,"Toleto","Toledo",NA,0,"39.86385823","-4.02363523",5
83,"Recopoli","Zorita de los Canes",NA,0,"40.33190181","-2.88920310",5
84,"Valentia","Valencia",NA,0,"39.46990750","-0.37628809",5
85,"Mentesa","La Guardia",NA,0,"39.78679490","-3.47382076",5
86,"Acci","Guadix",NA,0,"37.30117206","-3.14033047",5
87,"Castilona","Linares",NA,0,"38.09690974","-3.63698028",5
88,"Beatia","Baeza",NA,0,"37.99670611","-3.46764561",5
89,"Iliocrici","Lorca",NA,0,"37.67359250","-1.69683570",5
90,"Aorariola","Orihuela",NA,0,"38.08552550","-0.94805488",5
91,"Mave","Santa María de Mave",NA,0,"42.72421360","-4.27404171",5
92,"Saldania","Saldaña",NA,0,"42.51799971","-4.74197917",5
93,"Oliovasio","Monte Cildá (doubts)",NA,1,"42.74477601","-4.28849698",5
94,"Ispali","Sevilla",NA,0,"37.39050639","-5.98402741",5
95,"Italica","Santiponce",NA,0,"37.43519377","-6.04275127",5
96,"Karmona","Carmona",NA,0,"37.47126906","-5.64187632",5
97,"Roda","Roda de Andalucia (doubts)",NA,0,"37.20140644","-4.77885459",5
98,"Cordoba","Cordoba",NA,0,"37.88681566","-4.77938202",5
100,"Tucci","Martos",NA,0,"37.71822639","-3.97001355",5
101,"Eliberri","Granada",NA,0,"37.17825301","-3.59918434",5
102,"Asidona","Jerez de la Frontera",NA,0,"36.68508477","-6.12567330",5
103,"Barbi","Antequera (doubts)",NA,1,"37.01988103","-4.55993000",5
104,"Malaka","Malaga",NA,0,"36.72211316","-4.42165868",5
105,"Emerita","Merida",NA,0,"38.91424160","-6.34914940",5
106,"Elvora","Talavera de la Reina",NA,0,"39.96288285","-4.83045525",5
107,"Olisipona","Lisboa (doubts)",NA,1,"38.72225241","-9.13933661",5
108,"Lameco","Lamego",NA,0,"41.09518019","-7.81222466",5
109,"Eminio","Coimbra",NA,0,"40.20698276","-8.43884824",5
110,"Veseo","Viseu",NA,0,"40.65653291","-7.91253355",5
111,"Totela","Tondela (doubts)",NA,1,"40.51706452","-8.08025689",5
112,"Coleia","Almofala (doubts)",NA,1,"40.95380608","-7.79254168",5
113,"Caliabria","Aldeia Nova - Castelo de Calabre (doubts)",NA,1,"40.70973649","-7.42734406",5
114,"Egitania","Idanha-a-Velha",NA,0,"40.00275742","-7.15258443",5
115,"Monecipio","Terlamonte (doubts, other locations Monsanto and Covilha Velha)",NA,1,"40.29982495","-7.43938339",5
116,"Salmantica","Salamanca",NA,0,"40.97002703","-5.66374442",5
117,"Bracara","Braga",NA,0,"41.54546520","-8.42647707",5
118,"Bergancia","Betanzos - Bragança",NA,0,"41.80611311","-6.75673801",5
119,"Flavas","Chaves",NA,0,"41.74177813","-7.47314202",5
120,"Laetera","Vilar de Ledra (around this area, doubts)",NA,1,"41.51304694","-7.12686472",5
121,"Palantucio","Miranda do Douro Area (oppidum plançoulo?)",NA,1,"41.49954120","-6.27123110",5
122,"Panonias","Vale de Nogueiras",NA,0,"41.29144238","-7.67996443",5
123,"Turico","Vila Morta de Santa Cruz da Vilariça (doubts, other location Guimaraes)",NA,1,"41.37824240","-6.61041400",5
125,"Aliobrio","Cidadelhe (doubts, around this area)",NA,1,"40.92556025","-7.11995526",5
126,"Cepis","Casteloes de Cepeda",NA,0,"41.20516741","-8.33038674",5
127,"Laurencio / Laure","Lavra (Laurencio sure here, Laure could be a different mint)",NA,1,"41.25339876","-8.70642665",5
128,"Nandolas","Tras-os-Montes","area of Tras-os-Montes or Alto Douro but no concrete location has been accepted",1,"41.58553248","-6.94060038",4
129,"Palentiaca","concelho de Penafiel",NA,1,"41.21912424","-8.28017512",5
130,"Toriviana","Alvarelhos",NA,0,"41.31120436","-8.60925724",5
132,"Luco","Lugo",NA,0,"43.00973839","-7.55675822",5
133,"Inceio","Incio",NA,0,"42.68787414","-7.33001547",5
134,"Aurense","Orense",NA,0,"42.33579014","-7.86387967",5
135,"Calapa","Calabor",NA,0,"41.95589799","-6.71751327",5
136,"Cassavio","Casaio (doubts)",NA,1,"42.34101280","-6.80761389",5
137,"Georres","Petin",NA,0,"42.38296620","-7.12615221",5
138,"Pincia","Pinza",NA,0,"42.16184398","-7.09792190",5
139,"Senabria","Puebla de Sanabria",NA,0,"42.05437971","-6.63493927",5
140,"Susarres","Bembibre",NA,0,"42.61734688","-6.41617241",5
141,"Astorica","Astorga",NA,0,"42.45515713","-6.05375717",5
142,"Bergio","Cacabelos",NA,0,"42.59864426","-6.72581189",5
143,"Fraucello","Ancient Frogelos its location must be around the area Las Medulas",NA,1,"42.45957004","-6.76010596",5
144,"Leione","León",NA,0,"42.59908319","-5.56753824",5
145,"Pesicos","Cangas de Narcea",NA,0,"43.16255691","-6.54629429",5
146,"Petra","Piedrafita occidental",NA,0,"43.01916935","-6.60470327",5
147,"Semure","Zamora",NA,0,"41.50347309","-5.74678896",5
148,"Ventosa","Around Benavente",NA,0,"41.98540457","-5.67040705",5
149,"Conteno","Cuntis",NA,0,"42.63409707","-8.56400476",5
150,"Mertia","Merza",NA,0,"42.77014604","-8.26320075",5
151,"Catora","Catoira",NA,0,"42.66678426","-8.72159883",5
152,"Tude","Tui",NA,0,"42.04916415","-8.64661103",5
153,"Tornio","around La Burgueria",NA,1,"41.95107033","-8.19191393",5
154,"Adonis","Adoes (lots of doubts)",NA,1,"40.28142761","-8.45399688",5
155,"Amiasios","Amaia (los of doubts)",NA,1,"43.32316950","-3.00915030",5
156,"Asturie","Astorga","Probably same mint then Asturica (not in the map)",1,"42.45492842","-6.05324993",4
157,"Decrinos","Tui","Probably very close to Tude, but still unknown (not in the map)",1,"42.04915186","-8.64661070",4
158,"Tulluco","Alegría-Dulantzi","Unknown location, maybe around Álava (not in the map)",1,"42.84102862","-2.51268038",4
159,"Vallesalsa","Río Sousa","Unknown, probably in the Gallaecia (not in the map)",1,"38.70576401","-9.33056729",4
160,"Valle.../ Vallegia","Iruña Oka","Unknown, could be in the Gallaecia or Tarraconensis (not in the map)",1,"42.81923553","-2.82779590",4
161,"Agenno","Agen",NA,0,"44.20314200","0.61636300",5
162,"Agaciaco","Aguessac",NA,0,"44.15551400","3.09749600",5
163,"Atura","Aire",NA,0,"46.30007500","2.48388300",5
164,"al-Qayrawan","Kairouan",NA,0,"35.67752600","10.10062000",5
165,"Alisia","Alaise",NA,0,"47.01433900","5.97329500",5
166,"Albenno","Albens",NA,0,"45.78560600","5.94395900",5
167,"Albigia","Albi",NA,0,"43.92508500","2.14864100",5
168,"Elariaco","Alleyrat",NA,0,"45.57252100","2.21729100",5
169,"Amiasio","Amaya",NA,1,"42.64222216","-4.16385394",4
170,"Agusta","Aoste",NA,0,"45.73495500","7.31307600",5
171,"Aquileia","Aquileia","Aquilea",0,"45.76816490","13.36871908",5
172,"Archbishops of York","York (uncertain)",NA,0,"53.95905600","-1.08153600",5
173,"Argentate","Argentat",NA,0,"45.09230600","1.93778200",5
174,"Arelato","Arles",NA,0,"43.67664700","4.62777700",5
175,"Artona","Artonne",NA,0,"46.00420000","3.14470000",5
176,"Actriaco","Autrac",NA,0,"45.32994600","3.13238000",5
177,"Augusteduno","Autun",NA,0,"46.95103100","4.29894800",5
178,"Aventeco","Avenches",NA,0,"46.87957500","7.04094100",5
179,"Bannaciaco","Banassac",NA,0,"44.43469300","3.20149400",5
180,"Barro","Bar-sur-Corrèze","Bar",0,"45.34484400","1.81318200",5
181,"Vasatis","Bazas",NA,0,"44.43204600","-0.21260100",5
182,"Vesoncione","Besancon",NA,0,"47.23795300","6.02432500",5
183,"Biaenate Pago","Beynat",NA,0,"45.12471300","1.72182400",5
184,"Billiomago","Billom",NA,0,"45.72205000","3.33905800",5
185,"Burdegala","Bordeaux",NA,0,"44.84122500","-0.58003600",5
186,"Auseno","Bourg-d'Oisans",NA,0,"45.05471300","6.03066200",5
187,"Bregusia","Bourgoin","Bourgoin-Jallieu",0,"45.58722600","5.28281200",5
188,"Brivate","Brioude","Brioude (including Church of St. Julien)",0,"45.29529000","3.38433000",5
189,"Cadurca","Cahors",NA,0,"44.44950000","1.43650000",5
190,"Cannaco","Canac",NA,0,"44.40488900","3.07543200",5
191,"Cassavio","Casaio","Casavio",1,"42.34000400","-6.80535900",5
192,"Sanonno","Cenon",NA,0,"44.85528800","-0.52398600",5
193,"Cabilonno","Chalon-Sur-Saone",NA,0,"46.78890000","4.85296000",5
194,"Cambarisio","Chamberet",NA,0,"45.58341900","1.72043800",5
195,"Cantoliano","Chantilin","Chantilin, Saint-Jean-de-Soudain",0,"45.56662000","5.44240500",5
196,"Catiriaco","Chatrat",NA,0,"45.72872500","3.00556600",5
197,"Cassoriaco","Chazerat",NA,0,"45.03476000","3.08766300",5
198,"Chersonesus","Sevastopol","Cherson",0,"44.60611500","33.52247800",5
199,"Begorra","Cieutat",NA,0,"43.12235300","0.21366500",5
200,"Arvernus","Clermont-Ferrand",NA,0,"45.77745500","3.08194300",5
201,"Constantinople","Istanbul","Kostantinopolis",0,"41.02345500","28.95518800",5
202,"Cornilio","Cornil",NA,0,"45.21144700","1.69157500",5
204,"Dia Vocontiorum","Die","Die (Dia Vocontiorum)",0,"46.60335400","1.88833400",5
205,"Divione","Dijon",NA,0,"47.32158100","5.04147000",5
206,"Trusciaco","Drugeac",NA,0,"45.16893100","2.38356900",5
207,"Egaboro","Cabra",NA,0,"37.47181500","-4.43356200",5
208,"Elissa","Around Lisbon (uncertain)","Elissa (?)",1,"38.91305700","-9.03800600",5
209,"Espaniaco","Espagnac",NA,0,"45.22998100","1.89681000",5
210,"Ewesis","Vila Real (exact location uncertain)",NA,1,"39.93689800","-0.10102800",5
211,"Castro Fusci","Foix",NA,0,"42.96412700","1.60523200",5
212,"Genava","Geneva",NA,0,"46.19839200","6.14229600",5
213,"Gaciaco","Gizia",NA,0,"46.52755900","5.42166400",5
214,"Gracinoble","Grenoble",NA,0,"45.18852900","5.72452400",5
215,"Isauria","Dereköy/Konya","Zengibar Kalesi",0,"37.17825700","32.16866300",5
216,"Gavalorum","Javols",NA,0,"44.69374400","3.34261000",5
217,"Juliaco","Juillac",NA,0,"45.31725900","1.32240000",5
218,"Gemeliaco","Jumillac-le-Grand","Jumilhac-le-Grand",0,"45.49362900","1.06247400",5
220,"Kings of Northumbria",NA,NA,1,"53.95996084","-1.08730016",4
221,"Lanticiaco","Lanzac",NA,0,"44.87444500","1.48280400",5
222,"Laure","Lavra (?)",NA,0,"49.28074500","-0.69865900",5
223,"Laurentio","Around Porto (uncertain)",NA,1,"41.34824600","-8.41102300",5
224,"Lausonna","Lausanne",NA,0,"46.51996200","6.63359700",5
225,"Cummonigo","Le Pays de Cominges","Saint-Bertrand-de-Comminges",0,"43.02686500","0.57097600",5
226,"Anicio","Le Puy",NA,0,"45.04276800","3.88293600",5
227,"Lintiniaco","Lentignac","Montignac",0,"45.06433200","1.16138000",5
228,"Ledoso","Lezoux",NA,0,"45.82842200","3.37952800",5
229,"Lugdunum","Lyons",NA,0,"45.75759262","4.83231639",5
230,"Matascone","Mâcon","Macon",0,"46.30345000","4.83250700",5
231,"Marciliaco","Marcillat",NA,0,"46.16705200","2.63126400",5
232,"Masilia","Marseilles",NA,0,"43.29648200","5.36978000",5
233,"Mauriaco","Mauriac",NA,0,"45.21997900","2.33661100",5
234,"Darantasia","Moutiers-Tarentaise",NA,0,"45.50000000","6.50000000",5
235,"Narbo","Narbonne",NA,0,"43.18427700","3.00307800",5
236,"Novo Vico","Neuvic d'Ussel",NA,0,"45.38981200","2.27326900",5
237,"No mint",NA,NA,1,"40.67126786","-4.10887974",3
238,"Helorone","Oloron",NA,0,"43.19441300","-0.60529200",5
239,"Oxsello","Osselle",NA,0,"47.14266700","5.85569300",5
240,"Petrocoris","Perigueux",NA,0,"45.18402900","0.72111500",5
241,"Portocale","Porto","Portocolae",0,"41.14824600","-8.61102300",5
242,"Ricomago","Riom",NA,0,"45.89399500","3.11493200",5
243,"Rutenus","Rodez",NA,0,"44.35100100","2.57330100",5
244,"Telemate","Saint-Amant-Tallende","Saint-Armand-Tallende",0,"45.66899700","3.10913900",5
245,"Cariaco","Saint-Beauzire",NA,0,"45.85163300","3.17900600",5
246,"Conbenas","Saint-Bertrand-de-Comminges","Saint-Bertrand-de-Cominges",0,"43.02686500","0.57097600",5
247,"Maurienna","Saint-Jean-de-Maurienne",NA,0,"45.27747700","6.34534200",5
248,"Conserannis","Saint-Lizier",NA,0,"43.00128000","1.13614500",5
249,"Acauno","Saint-Maurice","Saint-Maurice (Swiss)",0,"46.21483500","7.00528800",5
250,"Vellaos","Saint-Paulien",NA,0,"45.13585000","3.81311500",5
251,"Salona","Solin",NA,0,"43.54415900","16.49192100",5
252,"Sagraciaco","Sarrazac",NA,0,"45.28542400","0.95012400",5
253,"Seleukeia Isauriae","Silifke","Seleucia",0,"36.59227100","33.94924900",5
254,"Sicily",NA,"Siciliae",1,"37.58779775","14.15505038",3
255,"Sidunis","Sion",NA,0,"46.23117500","7.35888000",5
256,"Sisteron","Sisteron",NA,0,"44.19634700","5.94437900",5
257,"Sicusio","Suse",NA,0,"45.13721200","7.05397900",5
258,"Tanja","Tangier",NA,0,"35.76513400","-5.82832400",5
259,"Tasgunnago","Tazanat","Charbonnières-les-Vieilles",0,"45.99556100","2.99921800",5
261,"Tilmisan","Tlemcen",NA,0,"34.89620000","-1.31540100",5
263,"Tholosa","Toulouse",NA,0,"43.60446200","1.44424700",5
264,"Tripoli",NA,NA,0,"32.89667200","13.17779200",5
265,"Uncertain mint (England)",NA,NA,1,"52.68887338","-1.25244105",3
266,"Unknown",NA,NA,1,"40.27009002","-4.63623033",3
267,"Unknown (Malaka or Cordoba?)","Malaga or Cordoba",NA,1,"37.33836474","-4.51263383",4
268,"Unknown (Emerita?)","Mérida",NA,0,"38.91914223","-6.34079437",4
269,"Unknown (Toleto?)","Toledo",NA,1,"39.83991251","-4.01549986",4
270,"Oxxello","Ussel",NA,0,"45.23309200","7.21158700",5
271,"Icciomo","Usson",NA,0,"45.52736600","3.33770400",5
272,"Userca","Uzerche",NA,0,"45.42433200","1.56372800",5
273,"Ucece","Uzes",NA,0,"44.01214100","4.41967800",5
274,"Valentia","Valence? (But maybe Gap=Vapincum)","Valence",1,"44.93322800","4.89208100",5
275,"Vallearitia","Varzea do Douro (doubts)",NA,1,"41.08668000","-8.24837500",5
276,"Vallegia","Iruña","Valle…",1,"42.81855000","-1.64441600",5
277,"Valligoli","Valuejols","Vallegoles",0,"45.05400200","2.93355000",5
278,"Vindicco","Vendeix",NA,0,"45.75421200","3.09410500",5
279,"Venasque","Vendesca?",NA,1,"43.99619700","5.14651800",5
280,"Vendogilo","Vendeuil",NA,0,"49.71666700","3.35250000",5
281,"Vindiciaco","Vensat",NA,0,"46.04610000","3.18610000",5
282,"Vienna","Vienne",NA,0,"46.61211700","0.46540700",5
283,"Vivarios","Viviers",NA,0,"44.48302100","4.68984000",5
284,"Vorocio","Vouroux",NA,0,"46.31451400","3.39804800",5
285,"Isandone","Yssandon",NA,0,"45.20804900","1.37502000",5
286,"Antro Vico","Antre near Vilard d-Heria",NA,0,"46.41670000","5.73333000",5
287,"Argentao","Arinthod",NA,0,"46.39350000","5.56614000",5
288,"Latona Vico","Losne",NA,0,"47.09810000","5.26423400",5
289,"Cocciaco","Cuisia",NA,0,"46.53750000","5.40307000",5
290,"Gredaca","Graye-et-Charnay",NA,0,"46.46760000","5.45265000",5
291,"Alisia","Alize-Sainte-Reine","Alise-Sainte-Reine",0,"47.53640100","4.49155200",5
292,"Beleno","Beaune",NA,0,"47.02390600","4.83804300",5
293,"Cluciaco","Clucy",NA,0,"46.94619900","5.90464100",5
329,"Dimashq","Damascus",NA,0,"33.51306905","36.30958039",5
330,"Heliopolis","Baalbek","Ba'labaak / بعلبك",0,"34.00862342","36.20711855",5
331,"Amman","Amman","Philadelphia",0,"31.65860200","36.32185400",5
332,"Adraa","Daraa","Adhri'at",0,"32.62243400","36.11097000",5
333,"Busra","Bostra","Bosra",0,"32.51913800","36.48057300",5
334,"Hims","Homs","Emesa / حمص",0,"34.73332595","36.71666094",5
335,"Tartus","Tartous",NA,0,"34.89362000","35.88516900",5
336,"Tiberias","Tabariya","Ṭabarīyya / طبرية",0,"32.78923701","35.52138059",5
337,"Baysan","Beit-Shean","Scythopolis",0,"32.49675200","35.49730200",5
338,"Jerash","Jarash",NA,0,"32.23526000","35.90377400",5
339,"Akka","Acre",NA,0,"32.92817500","35.07563700",5
340,"Sephoris","Saffuriya",NA,0,"32.73944800","35.27584000",5
341,"Iliya (Ayla)","Jerusalem","Aelia Capitolina",0,"31.79681300","35.21376900",5
342,"Ludd","Lod",NA,0,"31.94272600","34.88477800",5
343,"Yubna","Yavne",NA,0,"31.87618000","34.73809200",5
344,"al-Ramla","Ramla",NA,0,"31.92799900","34.86234700",5
345,"Askalon","Ashkelon","Asqalan",0,"31.66448700","34.57301600",5
346,"Bayt Jabrin","Beit Guvrin","Eleutheropolis",0,"31.61136700","34.89536000",5
347,"Baniyas/Nabulus","Nablus","Neapolis (Palestine)",0,"32.22049900","35.25688800",5
348,"Ghazza","Gaza",NA,0,"31.50450400","34.46543100",5
349,"Qaysariya","Caesarea",NA,0,"32.51149700","34.90578600",5
350,"Chalcs ad Belum","Qinnasrin","Qinnasrīn / قنسرين",0,"35.98333110","37.01666232",5
351,"Bercea","Aleppo","Halab / حلب",0,"36.19923830","37.16371653",4
352,"Maʿarrat Miṣrīn","Ma'arrat Misrin","Maarrat Misrin / Nasrin / معرة مصرين",0,"36.01030924","36.67364961",5
353,"Manbij","Manbij","Hierapolis Bambyce/Euphratensis",0,"36.52692400","37.95592900",5
354,"Sarmin","Sarmin",NA,0,"35.90344200","36.72574800",5
355,"Qurus","Ash Shaykh Khurus","Cyrrhus",0,"36.73333300","36.88333300",5
356,"Tanukh/Saruj?","Suruç",NA,0,"36.98941000","38.37052300",5
357,"Carrhae","Harran","Hellonopolis / Ḥarrān / حران",0,"32.89060807","36.38482328",4
358,"al-Ruha","Sanliurfa","Edessa",0,"37.16038800","38.79091600",5
359,"Nisibin","Nusaybin","Nisibis",0,"37.19099600","41.34555400",5
360,"al-Madina ma'din amir al-mu'minin","al-Rusafa","Sergiopolis",1,"38.75638747","35.62777706",5
361,"Lingonas","Langres",NA,0,"47.86556400","5.33141600",5
362,"Andelao","Andelot",NA,0,"48.24238300","5.29803100",5
363,"Mosa Vico","Meuvy",NA,0,"48.08406400","5.54858100",5
364,"Ternodero","Tonnerre",NA,0,"47.85646600","3.97330300",5
365,"Rotomo","Rouen",NA,0,"49.44045900","1.09396600",5
366,"Gemedico","Jumièges",NA,0,"49.43178300","0.81755700",5
367,"Menoiovilla","Ménouville",NA,0,"49.15213000","2.11309800",5
368,"Nivialcha","Néaufles-Saint-Martin",NA,0,"49.27786000","1.72361100",5
369,"Velcassino?","Le Vexin",NA,0,"49.30309900","1.93637900",5
370,"Baiocas","Bayeux",NA,0,"49.27604900","-0.70228900",5
371,"Apraricia(co)","Evrecy",NA,0,"49.09992000","-0.50114400",5
372,"Similiaco","Sémily",NA,0,"50.60224900","15.33526000",5
373,"Abrinktas","Avranches",NA,0,"48.68620800","-1.35794800",5
374,"Saius","Sèes",NA,0,"48.60337800","0.17345400",5
375,"Custancia","Coutances",NA,0,"49.04779200","-1.44549100",5
376,"Briuuri","Saint-Lô",NA,0,"49.11570000","-1.09066400",5
377,"Coriallo","Cherbourg",NA,0,"49.63695600","-1.62513400",5
378,"Turonus","Tours",NA,0,"47.39004700","0.68892700",5
379,"Saint Martin's Basilica","Tours",NA,0,"47.39004700","0.68892700",5
380,"Alingavias","Langeais",NA,0,"47.32393400","0.40729600",5
381,"Ambacia","Amboise",NA,0,"47.41103500","0.98369800",5
382,"Ballatetone","Ballan-Miré",NA,0,"47.34132100","0.61313200",5
383,"Borgoialo","Bourgueil",NA,0,"47.28276900","0.17888700",5
384,"Bricca Vico","Brèches",NA,0,"47.56924800","0.38789600",5
385,"Briotreite","Biéré",NA,0,"48.35568800","-4.75420200",5
386,"Brixis","Braye, auj. Reignac",NA,0,"47.23239200","0.91638300",5
387,"Cainone","Chinon",NA,0,"47.16671800","0.24021000",5
389,"Condate","Candes",NA,0,"44.94706300","1.96972900",5
390,"Daria/Dariaco","Dierre",NA,0,"47.34539000","0.95211000",5
391,"Evira","Esvres",NA,0,"47.28458200","0.78617100",5
392,"Geniliaco","Génillé",NA,0,"47.18637800","1.09612200",5
393,"Hicciodero","Yzeures",NA,0,"46.78527600","0.86990900",5
394,"Limariaco","Limeray",NA,0,"47.45922000","1.04085800",5
395,"Medeconno","Mougon",NA,0,"46.29447900","-0.28802600",5
396,"Musicaco","Mouzay",NA,0,"47.08948900","0.89247300",5
398,"Pauliaco","Pouillé",NA,0,"45.48235600","6.09318600",5
400,"Silaniaco","Séligny",NA,0,"46.96392900","0.57669900",5
401,"Solonaco","Sonnay",NA,0,"45.35450000","4.90511000",5
402,"Vidua","Veuves",NA,0,"47.47157400","1.12458300",5
403,"Cenomannis","Le Mans",NA,0,"48.00777800","0.19953400",5
404,"Alaona","Allonnes",NA,0,"47.96928300","0.15788200",5
405,"Arciacas","Saint-Jean-d'Assé",NA,0,"48.15063700","0.12266800",5
406,"Arciaco","Assé-le-Riboul",NA,0,"48.19308000","0.08666600",5
407,"Balatonno","Ballon",NA,0,"48.17524100","0.23368000",5
408,"Bedicco","Bais",NA,0,"48.25108600","-0.36345100",5
409,"Bellofaeto","Beaufay",NA,0,"48.14711400","0.36219000",5
410,"Bruciron(no)","Brulon",NA,0,"47.96750500","-0.23551700",5
411,"Cabiliaco","Chevillé",NA,0,"47.94842700","-0.22390100",5
412,"Cirialaco","Sérillac (comm. De Doucelles)",NA,0,"48.25628600","0.16986400",5
413,"Corma","Cormes",NA,0,"48.16991400","0.70384000",5
414,"Crisciac(o)","Crissé",NA,0,"48.16851300","-0.06021200",5
415,"Diabolentis","Jublains",NA,0,"48.25709200","-0.49639200",5
416,"Lacciaco","Lassay",NA,0,"46.99820600","0.05916000",5
417,"Matoliaco","Mayet",NA,0,"47.76043100","0.27454000",5
418,"Matovallo","Saint-Calais",NA,0,"47.92013700","0.74344000",5
419,"Noviomo","Noyen-sur-Sarthe",NA,0,"47.87099300","-0.09736300",5
420,"Novovico","Neuvy",NA,0,"46.56060000","3.29113000",5
421,"Sauliaco","Souillé",NA,0,"48.11909500","0.18261300",5
422,"Sirallo","Ciral",NA,0,"48.49458400","-0.13776800",5
423,"Solemnis","Solesmes",NA,0,"50.18575300","3.49759200",5
424,"Wagias","Vaiges",NA,0,"48.04110700","-0.47707600",5
425,"Redonis","Rennes",NA,0,"48.11135900","-1.68000900",5
426,"Belciaco/Balaciaco","Beaucè",NA,0,"48.33903200","-1.15555200",5
428,"Vindello","Vendel",NA,0,"48.29921300","-1.31028000",5
429,"Andecavis","Angers",NA,0,"47.47398800","-0.55155900",5
430,"Senonas","Senonnes",NA,0,"47.79813400","-1.20337500",5
431,"Namnetis","Nantes",NA,0,"47.21851600","-1.56023500",5
432,"Baiorate","Béré",NA,0,"47.71940600","-1.37572800",5
433,"Deas","Saint-Philibert de Grandleiu",NA,0,"47.03590000","-1.64051800",5
434,"Cambidonno","Campbon",NA,0,"47.41281600","-1.96936100",5
435,"Venetus","Vannes",NA,0,"47.65867700","-2.75990800",5
436,"Senonis","Sens",NA,0,"48.19785600","3.28260600",5
437,"Dortenco","Dourdan",NA,0,"48.53096900","2.01089900",5
438,"Mecledore","Melun",NA,0,"48.53538100","2.65920000",5
439,"Stampas","Étampes",NA,0,"48.43304200","2.16113800",5
440,"Carnotas","Chartres",NA,0,"48.44700400","1.48663900",5
441,"Aloia","Alluyes",NA,0,"48.22880600","1.36361000",5
442,"Bleso","Blois",NA,0,"47.58768600","1.33376400",5
443,"Dorocas","Dreux",NA,0,"48.73591200","1.37104900",5
444,"Riomo","Ruan",NA,0,"49.44045900","1.09396600",5
445,"Vi(n)docino","Vendôme",NA,0,"47.79551800","1.06616800",5
446,"Autiziodero","Auxerre",NA,0,"47.79540000","3.58452000",5
447,"Briodro","Briare",NA,0,"47.64107200","2.74131300",5
448,"Donnaciaco","Donay",NA,0,"45.18212000","5.10186400",5
449,"Eliniaco","Alligny-près-Cosne",NA,0,"47.45389100","3.06091400",5
450,"Nenterac(o)","Nitry",NA,0,"47.67227100","3.87788800",5
451,"Tricas","Troyes",NA,0,"48.29716300","4.07462600",5
452,"Arciaca","Arcis-sur-Aube",NA,0,"48.53622100","4.14229900",5
453,"Briona","Brienne-la-Vieille",NA,0,"48.37608300","4.52837800",5
454,"Cupidis","Queudes",NA,0,"48.65685000","3.75896000",5
455,"Latascone","La Chapelle-Lasson",NA,0,"48.62668000","3.83179000",5
