location_long;location_modern_title;location_other_title;location_lat;location_title;location_uncertain;LegendID;ID;Country
29.91873190;Alexandria;NA;31.20009005;"Alexandria ad Aegyptum";0;5;1;Egypt
10.32172450;Carthage;Qartaj;36.85291990;Carthago;0;5;2;Tunisia
12.49981866;Rome;NA;41.89363823;Roma;0;5;3;Italy
33.89333844;Salamis-Constantia;NA;35.18549596;Salamis-Konstantia;0;5;4;Cyprus
12.20352940;Ravenna;NA;44.41835980;Ravenna;0;5;5;Italy
9.14999694;Pavia;NA;45.18332769;Ticinum;0;5;6;Italy
9.18661949;Milan;NA;45.46327487;Mediolanum;0;5;7;Italy
14.78262080;Benevento;NA;41.12976130;Benevento;0;5;9;Italy
15.08303040;Catania;NA;37.50787720;Catania;0;5;10;Italy
14.26812440;Naples;NA;40.85177460;Neapolis;0;5;11;Italy
15.28658610;Syracuse;NA;37.07547390;Syracusae;0;5;12;Italy
9.01289260;Sardinia;NA;40.12087520;Sardinia;0;5;13;Italy
-0.09364960;London;NA;51.43092090;Londinium;0;5;14;"United Kingdom"
1.07890890;Canterbury;NA;51.28023300;Durovernum;0;5;15;"United Kingdom"
-1.08729790;York;NA;53.95996510;Eburacum;0;5;16;"United Kingdom"
6.63714330;Trier;NA;49.74999200;"Colonia Augusta Treverorum";0;5;17;Germany
2.29575251;Amiens;NA;49.89406536;Ambianum;0;5;18;France
22.94441910;Thessaloniki;NA;40.64006290;Thessalonika;0;5;19;Greece
10.49506090;Lucca;NA;43.83762110;Lucca;0;5;20;Italy
10.40168880;Pisa;NA;43.72283860;Pisa;0;5;21;Italy
10.90785870;Pistoia;NA;43.93034750;Pistoia;0;5;22;Italy
29.91694217;Izmit;NA;40.76725807;Nikomedia;0;5;52;Turkey
27.89000000;Kyzikos;Cyzicus;40.38000000;Kyzikos;0;5;53;Turkey
19.616667;Srem;NA;44.983333;Sirmium;0;5;54;Serbia
36.16531800;Antakya;Hatay;36.20066300;Antioch;0;5;66;Turkey
16.37138283;Siscia;NA;45.48316266;Siscia;0;5;67;Croatia
27.95296653;"Marmara Ereğlisi";NA;40.97101281;Heraclea;0;5;68;Turkey
-0.88920320;Zaragoza;NA;41.64884331;Cesaragusta;0;5;69;Spain
-1.72215100;Tarazona;Tirasona;41.90427900;Tirazona;0;5;70;Spain
-1.96712517;Calahorra;NA;42.30704666;Calagorre;0;5;71;Spain
-3.01943126;Herramélluri;NA;42.50333924;Lebea;0;5;72;Spain
1.24449050;Tarragona;NA;41.11888284;Tarracona;0;5;73;Spain
2.82058540;Gerona;NA;41.97894467;Gerunda;0;5;74;Spain
2.17362252;Barcelona;NA;41.38526570;Barcinona;0;5;75;Spain
3.20809453;Rosas;NA;42.26051656;Rodas;0;5;76;Spain
0.52146725;Tortosa;NA;40.81259129;Dertosa;0;5;77;Spain
-0.27843850;Sagunto;NA;39.67986330;Sagunto;0;5;78;Spain
0.32959130;"Gist'in (doubts)";NA;42.59115713;Cestavi;0;5;79;Spain
0.06640920;Boltaña;NA;42.44472409;Volotania;0;5;80;Spain
0.28724408;"Puebla de Castro";NA;42.14394601;Labeclosa;0;5;81;Spain
-4.02363523;Toledo;NA;39.86385823;Toleto;0;5;82;Spain
-2.88920310;"Zorita de los Canes";NA;40.33190181;Recopoli;0;5;83;Spain
-0.37628809;Valencia;NA;39.46990750;Valentia;0;5;84;Spain
-3.47382076;"La Guardia";NA;39.78679490;Mentesa;0;5;85;Spain
-3.14033047;Guadix;NA;37.30117206;Acci;0;5;86;Spain
-3.63698028;Linares;NA;38.09690974;Castilona;0;5;87;Spain
-3.46764561;Baeza;NA;37.99670611;Beatia;0;5;88;Spain
-1.69683570;Lorca;NA;37.67359250;Iliocrici;0;5;89;Spain
-0.94805488;Orihuela;NA;38.08552550;Aorariola;0;5;90;Spain
-4.27404171;"Santa María de Mave";NA;42.72421360;Mave;0;5;91;Spain
-4.74197917;Saldaña;NA;42.51799971;Saldania;0;5;92;Spain
-4.28849698;"Monte Cildá (doubts)";NA;42.74477601;Oliovasio;1;5;93;Spain
-5.98402741;Sevilla;NA;37.39050639;Ispali;0;5;94;Spain
-6.04275127;Santiponce;NA;37.43519377;Italica;0;5;95;Spain
-5.64187632;Carmona;NA;37.47126906;Karmona;0;5;96;Spain
-4.77885459;"Roda de Andalucia (doubts)";NA;37.20140644;Roda;0;5;97;Spain
-4.77938202;Cordoba;NA;37.88681566;Cordoba;0;5;98;Spain
-3.97001355;Martos;NA;37.71822639;Tucci;0;5;100;Spain
-3.59918434;Granada;NA;37.17825301;Eliberri;0;5;101;Spain
-6.12567330;"Jerez de la Frontera";NA;36.68508477;Asidona;0;5;102;Spain
-4.55993000;"Antequera (doubts)";NA;37.01988103;Barbi;1;5;103;Spain
-4.42165868;Malaga;NA;36.72211316;Malaka;0;5;104;Spain
-6.34914940;Merida;NA;38.91424160;Emerita;0;5;105;Spain
-4.83045525;"Talavera de la Reina";NA;39.96288285;Elvora;0;5;106;Spain
-9.13933661;"Lisboa (doubts)";NA;38.72225241;Olisipona;1;5;107;Portugal
-7.81222466;Lamego;NA;41.09518019;Lameco;0;5;108;Portugal
-8.43884824;Coimbra;NA;40.20698276;Eminio;0;5;109;Portugal
-7.91253355;Viseu;NA;40.65653291;Veseo;0;5;110;Portugal
-8.08025689;"Tondela (doubts)";NA;40.51706452;Totela;1;5;111;Portugal
-7.79254168;"Almofala (doubts)";NA;40.95380608;Coleia;1;5;112;Portugal
-7.42734406;"Aldeia Nova - Castelo de Calabre (doubts)";NA;40.70973649;Caliabria;1;5;113;Portugal
-7.15258443;Idanha-a-Velha;NA;40.00275742;Egitania;0;5;114;Portugal
-7.43938339;"Terlamonte (doubts, other locations Monsanto and Covilha Velha)";NA;40.29982495;Monecipio;1;5;115;Portugal
-5.66374442;Salamanca;NA;40.97002703;Salmantica;0;5;116;Spain
-8.42647707;Braga;NA;41.54546520;Bracara;0;5;117;Portugal
-6.75673801;"Betanzos - Bragança";NA;41.80611311;Bergancia;0;5;118;Portugal
-7.47314202;Chaves;NA;41.74177813;Flavas;0;5;119;Portugal
-7.12686472;"Vilar de Ledra (around this area, doubts)";NA;41.51304694;Laetera;1;5;120;Portugal
-6.27123110;"Miranda do Douro Area (oppidum plançoulo?)";NA;41.49954120;Palantucio;1;5;121;Portugal
-7.67996443;"Vale de Nogueiras";NA;41.29144238;Panonias;0;5;122;Portugal
-6.61041400;"Vila Morta de Santa Cruz da Vilariça (doubts, other location Guimaraes)";NA;41.37824240;Turico;1;5;123;Portugal
-7.11995526;"Cidadelhe (doubts, around this area)";NA;40.92556025;Aliobrio;1;5;125;Portugal
-8.33038674;"Casteloes de Cepeda";NA;41.20516741;Cepis;0;5;126;Portugal
-8.70642665;"Lavra (Laurencio sure here, Laure could be a different mint)";NA;41.25339876;"Laurencio / Laure";1;5;127;Portugal
-6.94060038;Tras-os-Montes;"area of Tras-os-Montes or Alto Douro but no concrete location has been accepted";41.58553248;Nandolas;1;4;128;Portugal
-8.28017512;"concelho de Penafiel";NA;41.21912424;Palentiaca;1;5;129;Portugal
-8.60925724;Alvarelhos;NA;41.31120436;Toriviana;0;5;130;Portugal
-7.55675822;Lugo;NA;43.00973839;Luco;0;5;132;Spain
-7.33001547;Incio;NA;42.68787414;Inceio;0;5;133;Spain
-7.86387967;Orense;NA;42.33579014;Aurense;0;5;134;Spain
-6.71751327;Calabor;NA;41.95589799;Calapa;0;5;135;Spain
-6.80761389;"Casaio (doubts)";NA;42.34101280;Cassavio;1;5;136;Spain
-7.12615221;Petin;NA;42.38296620;Georres;0;5;137;Spain
-7.09792190;Pinza;NA;42.16184398;Pincia;0;5;138;Spain
-6.63493927;"Puebla de Sanabria";NA;42.05437971;Senabria;0;5;139;Spain
-6.41617241;Bembibre;NA;42.61734688;Susarres;0;5;140;Spain
-6.05375717;Astorga;NA;42.45515713;Astorica;0;5;141;Spain
-6.72581189;Cacabelos;NA;42.59864426;Bergio;0;5;142;Spain
-6.76010596;"Ancient Frogelos its location must be around the area Las Medulas";NA;42.45957004;Fraucello;1;5;143;Spain
-5.56753824;León;NA;42.59908319;Leione;0;5;144;Spain
-6.54629429;"Cangas de Narcea";NA;43.16255691;Pesicos;0;5;145;Spain
-6.60470327;"Piedrafita occidental";NA;43.01916935;Petra;0;5;146;Spain
-5.74678896;Zamora;NA;41.50347309;Semure;0;5;147;Spain
-5.67040705;"Around Benavente";NA;41.98540457;Ventosa;0;5;148;Spain
-8.56400476;Cuntis;NA;42.63409707;Conteno;0;5;149;Spain
-8.26320075;Merza;NA;42.77014604;Mertia;0;5;150;Spain
-8.72159883;Catoira;NA;42.66678426;Catora;0;5;151;Spain
-8.64661103;Tui;NA;42.04916415;Tude;0;5;152;Spain
-8.19191393;"around La Burgueria";NA;41.95107033;Tornio;1;5;153;Portugal
-8.45399688;"Adoes (lots of doubts)";NA;40.28142761;Adonis;1;5;154;Portugal
-3.00915030;"Amaia (los of doubts)";NA;43.32316950;Amiasios;1;5;155;Spain
-6.05324993;Astorga;"Probably same mint then Asturica (not in the map)";42.45492842;Asturie;1;4;156;Spain
-8.64661070;Tui;"Probably very close to Tude, but still unknown (not in the map)";42.04915186;Decrinos;1;4;157;Spain
-2.51268038;Alegría-Dulantzi;"Unknown location, maybe around Álava (not in the map)";42.84102862;Tulluco;1;4;158;Spain
-9.33056729;"Río Sousa";"Unknown, probably in the Gallaecia (not in the map)";38.70576401;Vallesalsa;1;4;159;Portugal
-2.82779590;"Iruña Oka";"Unknown, could be in the Gallaecia or Tarraconensis (not in the map)";42.81923553;"Valle.../ Vallegia";1;4;160;Spain
0.61636300;Agen;NA;44.20314200;Agenno;0;5;161;France
3.09749600;Aguessac;NA;44.15551400;Agaciaco;0;5;162;France
2.48388300;Aire;NA;46.30007500;Atura;0;5;163;France
10.10062000;Kairouan;NA;35.67752600;al-Qayrawan;0;5;164;Tunisia
5.97329500;Alaise;NA;47.01433900;Alisia;0;5;165;France
5.94395900;Albens;NA;45.78560600;Albenno;0;5;166;France
2.14864100;Albi;NA;43.92508500;Albigia;0;5;167;France
2.21729100;Alleyrat;NA;45.57252100;Elariaco;0;5;168;France
-4.16385394;Amaya;NA;42.64222216;Amiasio;1;4;169;Spain
