"ID";"cf_name";"cf_place_name";"cf_custom_place_name";"cf_custom_x_coordinate";"cf_custom_y_coordinate";"cf_custom_region_vague";"cf_excavation_name";"cf_excavation";"cf_excavation_start";"cf_excavation_end";"cf_single_find";"cf_hoard";"cf_start_year";"cf_end_year";"cf_vague";"cf_num_coins_found";"cf_id_relevant_coins";"cf_publication_ref";"cf_user";"cf_comment";"cf_date_entered";"Region";"Tag_ID";"Dataset_IDs"
57;"Tesoro de Mérida";256155;"Emerita Augusta";38,9160965;-6,34010067;0;"Foro Provincial de Augusta Emerita";1;;;0;1;569;586;0;20;;"Mateos Cruz, P., Pizzo, A. and  Pliego, R. ""Un tesoro de tremises visigodos hallado en el llamado ""Foro Provincial"" de Augusta Emerita."" Archivo Español de Arqueología 78 (2005): 251-270.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
59;"Aguilafuente (Segovia)";236647;"S. Lucia";41,278283;-3,92371;0;;0;;;0;0;527;602;0;2;;"Garcîa-Gelabert, M.P. 1991. 'Hallazgo de dos monedas bizantinas en Aguilafuente, Segovia. Estudio del entorno', Hispania Antiqua 15, 161-168.";"ruthpliego@gmail.com";"Isolated coins without a given archaeological context";"1/1/2016";"Spain";;1
60;"Alcúdia Hoard";265922;"Ilici/Helike/Ecclesia Elotana";38,2396;-0,6953;0;"La Alcudia";0;1947;;0;1;395;423;0;3;;"Ramos Folqués, A. ""Un tesorillo bizantino en La Alcudia"", Crónica del IV Congreso Arqueológico del Sudeste Español. Elche 1948, Cartagena 1949, 510-513.";"ruthpliego@gmail.com";"The hoard is composed for three gold coins and includes jewelry (2 pair of earring, six rings and one small ingot)";"1/1/2016";"Spain";;1
61;"Cádiz";256177;"Gadeira/Gades/Col. Augusta Gaditana";36,52898544;-6,29361434;0;;0;;;1;0;582;602;0;1;;"Giménez Chornet, F. 1991. 'Una acunación bizantina en Spania', VII Congreso Nacionál de Numismática, Madrid, 463-465.";"ruthpliego@gmail.com";"Coin without a given archaeological context.";"1/1/2016";"Spain";;1
96;"Tesoro de La Condenada";0;"Osa de la Vega, Spain";39,661718;-2,759314;0;"Tesoro de La Condenada";0;2001;;0;1;569;710;0;15;;"M. J. Bernárdez, J. C. Guisado 2014. 'La Moneda Visigoda en Cuenca y su contexto arqueológico. El hallazgo del tesorillo de tremises visigodos de la mina romana de lapis specularis de La Condenada en Osa de la Vega (Cuenca)', In Cuenca: historia en sus";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
97;"Tesoro del Abusejo";0;"Abusejo";40,660032;-6,113899;0;"Tesoro del Abusejo";0;1932;;0;1;586;710;0;110;;"Barral, X. 1976. La circulation des monnaies suèves et visigotiques, contribution à I'histoire économique du royaume visigot. Zürich-München, 132 ss.  Aslo in: Beltrán (1948=1972: 110); Mateu (1933; Id. 1936, 31-38; Id. 1974); Pliego (2009, 1,250-25";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
98;"El Tolmo de Minateda";0;"Tolmo de Minateda, Hellin";38,464019;-1,611426;0;"El Tolmo de Minateda";1;2000;;0;0;680;710;0;6;;"Doménech, C. and Gutiérrez, S. 2005. 'Las monedas del Tolmo de Minateda (Hellín. Albacete)'. Actas del Xlll Congreso lnternacional de Numismática (Madrid 2003), vol. 2, Madrid.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
99;"El Bovalar";246256;"Serós. Segria";41,463664;0,410751;0;"El Bovalar";1;1980;1984;0;0;687;714;0;20;;"Pliego, R. 2009. La moneda visigoda (2 volumes). Sevilla, vol. I, p. 254-255.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
257;"Tesoro de Garrovillas";0;"Garrovillas de Alconétar";39,712005;-6,548984;0;"Tesoro de Garrovillas";0;1731;1731;0;1;569;601;0;21;;"Pliego, R. 2009. La moneda visigoda. Sevilla.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
258;"Tesoro Jerez de los Caballeros";0;"Jerez de los Caballeros";38,321214;-6,774697;0;"Tesoro de Jerez de los Caballeros";0;1829;1829;0;1;569;601;0;24;;"Pliego, R. 2009. La moneda visigoda. Sevilla.";"ruthpliego@gmail.com";;"1/1/2016";"Spain";;1
