ID;location_title;location_modern_title;location_other_title;location_uncertain;location_lat;location_long;LegendID;Country
1;Alexandria ad Aegyptum;Alexandria;;0;31.20009005;29.91873190;5;Egypt
2;Carthago;Carthage;Qartaj;0;36.85291990;10.32172450;5;Tunisia
3;Roma;Rome;;0;41.89363823;12.49981866;5;Italy
4;Salamis-Konstantia;Salamis-Constantia;;0;35.18549596;33.89333844;5;Cyprus
5;Ravenna;Ravenna;;0;44.41835980;12.20352940;5;Italy
6;Ticinum;Pavia;;0;45.18332769;9.14999694;5;Italy
7;Mediolanum;Milan;;0;45.46327487;9.18661949;5;Italy
9;Benevento;Benevento;;0;41.12976130;14.78262080;5;Italy
10;Catania;Catania;;0;37.50787720;15.08303040;5;Italy
11;Neapolis;Naples;;0;40.85177460;14.26812440;5;Italy
12;Syracusae;Syracuse;;0;37.07547390;15.28658610;5;Italy
13;Sardinia;Sardinia;;0;40.12087520;9.01289260;5;Italy
14;Londinium;London;;0;51.43092090;-0.09364960;5;United Kingdom
15;Durovernum;Canterbury;;0;51.28023300;1.07890890;5;United Kingdom
16;Eburacum;York;;0;53.95996510;-1.08729790;5;United Kingdom
17;Colonia Augusta Treverorum;Trier;;0;49.74999200;6.63714330;5;Germany
18;Ambianum;Amiens;;0;49.89406536;2.29575251;5;France
19;Thessalonika;Thessaloniki;;0;40.64006290;22.94441910;5;Greece
20;Lucca;Lucca;;0;43.83762110;10.49506090;5;Italy
21;Pisa;Pisa;;0;43.72283860;10.40168880;5;Italy
22;Pistoia;Pistoia;;0;43.93034750;10.90785870;5;Italy
52;Nikomedia;Izmit;;0;40.76725807;29.91694217;5;Turkey
53;Kyzikos;Kyzikos;Cyzicus;0;40.38000000;27.89000000;5;Turkey
54;Sirmium;Srem;;0;44.983333;19.616667;5;Serbia
66;Antioch;Antakya;Hatay;0;36.20066300;36.16531800;5;Turkey
67;Siscia;Siscia;;0;45.48316266;16.37138283;5;Croatia
68;Heraclea;Marmara Ereğlisi;;0;40.97101281;27.95296653;5;Turkey
69;Cesaragusta;Zaragoza;;0;41.64884331;-0.88920320;5;Spain
70;Tirazona;Tarazona;Tirasona;0;41.90427900;-1.72215100;5;Spain
71;Calagorre;Calahorra;;0;42.30704666;-1.96712517;5;Spain
72;Lebea;Herramélluri;;0;42.50333924;-3.01943126;5;Spain
73;Tarracona;Tarragona;;0;41.11888284;1.24449050;5;Spain
74;Gerunda;Gerona;;0;41.97894467;2.82058540;5;Spain
75;Barcinona;Barcelona;;0;41.38526570;2.17362252;5;Spain
76;Rodas;Rosas;;0;42.26051656;3.20809453;5;Spain
77;Dertosa;Tortosa;;0;40.81259129;0.52146725;5;Spain
78;Sagunto;Sagunto;;0;39.67986330;-0.27843850;5;Spain
79;Cestavi;Gist'in (doubts);;0;42.59115713;0.32959130;5;Spain
80;Volotania;Boltaña;;0;42.44472409;0.06640920;5;Spain
81;Labeclosa;Puebla de Castro;;0;42.14394601;0.28724408;5;Spain
82;Toleto;Toledo;;0;39.86385823;-4.02363523;5;Spain
83;Recopoli;Zorita de los Canes;;0;40.33190181;-2.88920310;5;Spain
84;Valentia;Valencia;;0;39.46990750;-0.37628809;5;Spain
85;Mentesa;La Guardia;;0;39.78679490;-3.47382076;5;Spain
86;Acci;Guadix;;0;37.30117206;-3.14033047;5;Spain
87;Castilona;Linares;;0;38.09690974;-3.63698028;5;Spain
88;Beatia;Baeza;;0;37.99670611;-3.46764561;5;Spain
89;Iliocrici;Lorca;;0;37.67359250;-1.69683570;5;Spain
90;Aorariola;Orihuela;;0;38.08552550;-0.94805488;5;Spain
91;Mave;Santa María de Mave;;0;42.72421360;-4.27404171;5;Spain
92;Saldania;Saldaña;;0;42.51799971;-4.74197917;5;Spain
93;Oliovasio;Monte Cildá (doubts);;1;42.74477601;-4.28849698;5;Spain
94;Ispali;Sevilla;;0;37.39050639;-5.98402741;5;Spain
95;Italica;Santiponce;;0;37.43519377;-6.04275127;5;Spain
96;Karmona;Carmona;;0;37.47126906;-5.64187632;5;Spain
97;Roda;Roda de Andalucia (doubts);;0;37.20140644;-4.77885459;5;Spain
98;Cordoba;Cordoba;;0;37.88681566;-4.77938202;5;Spain
100;Tucci;Martos;;0;37.71822639;-3.97001355;5;Spain
